clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,mpo_inegi_x,Ranking Modelo_x,pob_2015_x,start_year_x,end_year_x,mpo_ine_x,mpo_inegi_y,Ranking Modelo_y,pob_2015_y,start_year_y,end_year_y,mpo_ine_y,mpo_inegi,Ranking Modelo,pob_2015,start_year,end_year,mpo_ine,date
7023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87332.0,7023,218,87280,2018,2021,7023.0,7023,218,87280,2018,2021,7023.0,7023,218,87280,2018,2021,7023.0,2020/05
7024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12181.0,7024,30,12181,2018,2021,7024.0,7024,30,12181,2018,2021,7024.0,7024,30,12181,2018,2021,7024.0,2020/05
7025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7644.0,7025,182,7644,2018,2021,7025.0,7025,182,7644,2018,2021,7025.0,7025,182,7644,2018,2021,7025.0,2020/05
7026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39648.0,7026,88,39623,2018,2021,7026.0,7026,88,39623,2018,2021,7026.0,7026,88,39623,2018,2021,7026.0,2020/05
7027,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100751.0,7027,275,100712,2018,2021,7027.0,7027,275,100712,2018,2021,7027.0,7027,275,100712,2018,2021,7027.0,2020/05
7028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5899.0,7028,275,5897,2018,2021,7028.0,7028,275,5897,2018,2021,7028.0,7028,275,5897,2018,2021,7028.0,2020/05
7029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,7029,182,4995,2019,2021,7029.0,7029,182,4995,2019,2021,7029.0,7029,182,4995,2019,2021,7029.0,2020/05
7030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34744.0,7030,151,34719,2018,2021,7030.0,7030,151,34719,2018,2021,7030.0,7030,151,34719,2018,2021,7030.0,2020/05
7031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127914.0,7031,166,127724,2018,2021,7031.0,7031,166,127724,2018,2021,7031.0,7031,166,127724,2018,2021,7031.0,2020/05
7032,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31822.0,7032,158,31810,2018,2021,7032.0,7032,158,31810,2018,2021,7032.0,7032,158,31810,2018,2021,7032.0,2020/05
7033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7430.0,7033,182,7428,2018,2021,7033.0,7033,182,7428,2018,2021,7033.0,7033,182,7428,2018,2021,7033.0,2020/05
7034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73436.0,7034,132,73425,2018,2021,7034.0,7034,132,73425,2018,2021,7034.0,7034,132,73425,2018,2021,7034.0,2020/05
